Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,,,,,,,,
11/9/2019,010697-19CP,Complaint,Completed,308 4TH AVE S,,"HOUSING--per online--I made a complaint about The Addison 308 4th Ave South earlier, but didn't leave my contact information. (see #001183-19CP)",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010697-19CP
10/14/2019,009902-19CP,Complaint,Completed,308 4TH AVE S,,HOUSING--per phone call--landlord has set elevators to only let tenants off on the floor they live on.  Doors are locked to the stairwells and could present a safety issue.  All of the windows on the upper floors have been frosted so you can't see out of them.  Key fob doesn't work,Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009902-19CP
9/23/2019,009194-19CP,Complaint,Completed,308 4TH AVE S,,"Bed bugs in unit, work in the bathroom (from a leak) that hasn't been completed. Black Mold in hallway and garbage chute",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009194-19CP
9/17/2019,008950-19CP,Complaint,Completed,308 4TH AVE S,LandLord/Tenant,POTA--per phone call--questions about move out process,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008950-19CP
9/9/2019,008631-19CP,Complaint,Closed,308 4TH AVE S,,HOUSING--per walk in--refrigerator/freezer broken for over 1 month.  Kitchen sink handle broken off for 1 month.  Shower handle stuck for 3 days.  2 smoke detectors not mine for 2 months chirping,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008631-19CP
9/5/2019,008518-19CP,Complaint,Closed,308 4TH AVE S,,Bedbugs from furniture in hallway. Complainant is allergic.,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008518-19CP
8/9/2019,007444-19CP,Complaint,Closed,308 4TH AVE S,,HOUSING--per phone call--bed bug infestation.  Multiple units infested,Request,POINT (-122.32851868 47.59982559),Withdrawn,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007444-19CP
7/31/2019,1047563-VI,Notice of Violation,Completed,308 4TH AVE S,,Tenant says there is repeated junk and garbage that is left in what he describes as an awning. Mgmt is aware of this and has refused to clean it up. Junk is very toxic and tenant is not able to open window due to the smell. You have permission to view from his unit.,Case,POINT (-122.32851868 47.59982559),Compliance Achieved,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1047563-VI
7/19/2019,006480-19CP,Complaint,Closed,308 4TH AVE S,,"HOUSING--per phone call--exposed electrical wiring, trash at the base of the stairwell, elevator does not work",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006480-19CP
7/12/2019,006142-19CP,Complaint,Completed,308 4TH AVE S,Land Use,Tenant says there is repeated junk and garbage that is left in what he describes as an awning. Mgmt is aware of this and has refused to clean it up. Junk is very toxic and tenant is not able to open window due to the smell. You have permission to view from his unit.,Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006142-19CP
6/27/2019,001-0001292-001R,Rental Property Renewal,Renewal Issued,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
6/13/2019,004-0036673,Transfer Existing Registration to New Owners,Amendment Accepted,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
5/2/2019,003344-19CP,Complaint,Completed,308 4TH AVE S,,"Elevator in building is not working been like this since April 1st. Tenants have got stuck in it before. Have not been able to reach Mgmt. emergency line does not work. There is no access to building/Unit when elevator is down, what should tenants do?",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003344-19CP
3/12/2019,001893-19CP,Complaint,Completed,308 4TH AVE S,,"Broken window on the building, and generally an unsecured building that resulted in tenant being robbed at knifepoint inside the building. Frequent illegal entry by the landlord into tenants unit.",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001893-19CP
2/28/2019,001482-19CP,Complaint,Completed,308 4TH AVE S,"Emergency , LandLord/Tenant","Mold around tub no drain in tub. Heater/thermostat knob is not attached to radiator. No heat since 2/5/2019. No lease when moved in, no receipt of full payment of deposit $900",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001482-19CP
2/16/2019,001183-19CP,Complaint,Closed,308 4TH AVE S,,"The Addison in fourth has a roof that is structurally unsound on the 9th floor. I have gathered pictures. There are feces in the hallway. The elevators are dangerous and constantly breakdown and people get stuck in them. Another tenant whom I have contact for, has a video of an office member here urinating on the floors of the building. They only fix things if threatened with reporting which I have done and they are trying to fix fast. The garbage room is absolutely disgusting",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001183-19CP
1/29/2019,000881-19CP,Complaint,Completed,308 4TH AVE S,,Bedbugs,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000881-19CP
10/16/2018,009750-18CP,Complaint,Completed,308 4TH AVE S,,"Property manager unresponsive to concerns about common areas overrun with unauthorized occupants, unsecured entry.",Request,POINT (-122.32851868 47.59982559),Completed,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009750-18CP
9/13/2018,008746-18CP,Complaint,Closed,308 4th AVE S,,HOUSING--per phone call--garbage in the stairwell for over a week. A gallon of milk has been spilled and smells awful.  Has asked the management to clean it up to no avail,Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008746-18CP
6/11/2018,005430-18CP,Complaint,Completed,308 4th AVE S,LandLord/Tenant,"POTA--per walk-in (SA)--Man said sub-tenant, tenant in jail, wants to pay rent and continue to live in unit. Referred to SPD",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005430-18CP
6/8/2018,005450-18CP,Complaint,Closed,308 4TH AVE S,LandLord/Tenant,"Had a water leak in the bldg. awhile back and it was not properly fixed. Now there's black mold everywhere and it smells awful, getting tenants sick. Tenant has asthma with this smell she's having constant asthma attacks, wants to know rights if she breaks lease",Request,POINT (-122.32851868 47.59982559),,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005450-18CP
5/7/2018,1044184-VI,Notice of Violation,Completed,308 4TH AVE S,Land Use,"PER PHONE COMPLAINT: HBMC violations - windows.Windows are not properly insulated.On the bottom floor, diesel fuel from buses that comes into unit and covers walls and unit, causing tenant to get sick. Walls are covered with black soot, landlord refuses to do anything about it.",Case,POINT (-122.32851868 47.59982559),Compliance Achieved,,,SEATTLE,WA,8/5/2168,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1044184-VI
3/26/2018,003012-18CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
3/23/2018,002976-18CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HBMC,,,,,,,,,
3/21/2018,002925-18CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,WithdrawnComplaint withdrawn as per 4/10/18 communication (see log),,,,,,,,,
3/9/2018,002626-18CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
1/12/2018,001258-18CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"No Violation... On Wednesday January 10 2018,  I ordered an inspection of Ms Kina Ellis’ apartment at 308 4th Ave S Unit 826.  In attendance from SDCI were H/Z Inspectors Rudolph, Mai, and Hinch.  We inspected her apartment alongside the Addison on Fourth Pinnacle Living management and maintenance team with a licensed exterminator to immediately follow our inspection.  Ms Ellis was also present.  The result of this thorough inspection including the results of the exterminator is that there is no evidence of any rodent activity.  No droppings were found, no entry points discovered.",,,,,,,,,
11/9/2017,007961-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,WithdrawnComplaint withdrawn as per 11/21/17 communication (see log),,,,,,,,,
10/13/2017,007411-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,10/18/2017 HM - Complaint withdrew.,,,,,,,,,
10/13/2017,007402-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,DEPFES,,,,,,,,,
7/18/2017,1040700-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C).  Failure to state a just cause reason for the termination.,,,,,,,,,
7/13/2017,6607651-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,INSTALLATION OF LOW VOLTAGE 800 MHZ DISTRIBUTED ANTENNA SYSTEM.,7/13/2018,,,,,,,,
6/30/2017,004539-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,No bedbugs observed in Unit #218. Communicated with Mgmt. Treatment scheduled next week - 7/6/17 sr.,,,,,,,,,
5/24/2017,6599105-EL,Electrical Permit: Over the Counter,Expired,308    4TH  AVE  S  SEATTLE,,"LOW-VOLTAGE MUSIC SYSTEM WIRING, PLENUM-RATED 18AWG WIRE",5/24/2018,,,,,,,,
5/12/2017,6596892-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"RELOCATE 2 SPEAKERS/STROBE, ADD 1 SPEAKER/STROBES, AND 1 STROBE TO THE EXISTING FIRE ALARM SYSTEM.",5/12/2018,,,,,,,,
5/3/2017,6595278-EL,Electrical Permit: Over the Counter,Expired,308    4TH  AVE  S  SEATTLE,,NEW TENANT IMPROVEMENT INCLUDE INSTALLING ONE 200A 3 PHASE PANEL.,5/3/2018,,,,,,,,
5/2/2017,6594806-RF,Refrigeration Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL MINI SPLIT HEAT PUMP SYSTEM,11/2/2018,,,,,,,,
4/24/2017,6593160-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"MOBILE ONE  INSTALL 1 VISTA 20 ALARM PANEL,KEYPAD, TRANSFORMER, 3 DOOR CONTACTS, 3 MOTION DETECTORS,  5 INDOOR CAMERAS, 1 DVR",4/24/2018,,,,,,,,
4/14/2017,1039961-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,3/22/17 ej- Observed housing code violations such as but not limited to evidence of mice and broken wall covering and other miscellaneous items.,,,,,,,,,
4/12/2017,6591313-SB,"Sign, Awning and Canopy Permit",Completed,308    4TH  AVE  S  SEATTLE,TMOBILE,"INSTALL (1) ILLUMINATED WALL SIGN FOR ""T-MOBILE"". (PROPOSED PROJECTING BLADE SIGN NOT APPROVED BY THE INTERNATIONAL SPECIAL REVIEW DISTRICT IS NOT INCLUDED ON THIS PERMIT).",10/18/2018,,,,,,,,
3/28/2017,002410-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,Withdrawn,,,,,,,,,
3/20/2017,002270-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,3/22/17 ej- Observed housing code violations such as but not limited to evidence of mice and broken wall covering and other miscellaneous items.06/01/17 DW Obsevered all the holes were repaired. No signs of rodents. Between management and myself will monitor the unit for a week to determine if rodents exists. The maintenance team has made improvements to this point.,,,,,,,,,
3/1/2017,1039578-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg Maintenance Code Violation,,,,,,,,,
2/24/2017,6582960-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,Closed as incomplete INSTALL A ACCESS CONTROL SYSTEM W/ 1 READER IN EACH OF 3 ELEVATOR CABS,2/24/2018,,,,,,,,
2/15/2017,001702-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,Housing and Bldg Maintenance Code Violation,,,,,,,,,
2/3/2017,6579581-FS,Fire Sprinkler and Suppression Permit,Completed,308    4TH  AVE  S  SEATTLE,T-MOBILE,STAND ALONE FIRE SPRINKLER; Add/relocate (15) sprinkler heads. SUITE 118,9/1/2018,,,,,,,,
1/31/2017,001491-17CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,Withdrawn,,,,,,,,,
11/30/2016,6567585-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct tenant improvements to existing commercial building on the ground floor south tenant (suite 118), occupy per plan.",10/27/2018,,,,,,,,
11/23/2016,007724-16CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"As of 11/30/16, exiting on main level appears to be per code.11/30/16: no photos taken by Building Inspector Jeff Krieg.",,,,,,,,,
12/2/2015,007464-15CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,No ViolationSign posted indicating No smoking within 25ft of bldg. This is not required by permit conditions - 2/10/16 sr.,,,,,,,,,
5/11/2015,004-0001640,Rental Property Inspection Requirement,Inspection Completed,308    4TH  AVE  S  SEATTLE,Created from 001-0100410,,,,,,,,,,
1/2/2015,6453102-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"NEW INSTALL OF BURG SYSTEM - 1 PANEL, 1 CELL COMMUNICATOR, 1 KEYPAD, 1 SIREN, (PLUS 8 WIRELESS DEVICES)",1/2/2016,,,,,,,,
12/29/2014,6452448-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,LOW VOLT SECURITY INSTALL,12/29/2015,,,,,,,,
10/31/2014,6444031-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,FAR WEST TECHNOLOGIES WILL PROVIDE EQUIPMENT AND PROFESSIONAL INSTALLATION LABOR FOR THE WOODROW JEWELERS PROJECT.SYSTEM LABOR FOR DOOR CONTROL - INTERCOM FAR WEST TECHNOLOGIES WILL INSTALL:• INTERCOM SYSTEM WITH COLOR CAMERA (1)O MAIN ENTRANCE INTERCOM AND DOOR RELEASE BUTTON• BUTTON (1)O SECONDARY ENTRANCE DOOR RELEASE • POWER SUPPLY (1)• RELAY MODULE (1)• FIELD DEVICE INSTALLATION INCLUDING WIRE TERMINATIONS• WIRE LABELING • MISCELLANEOUS INSTALLATION HARDWARE REQUIRED FOR DEVICE INSTALLATION,10/31/2015,,,,,,,,
10/24/2014,6443083-ME,Mechanical Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Install (1) supply fan, ductwork, and (2) diffusers",4/24/2016,,,,,,,,
9/30/2014,6439039-ME,Mechanical Permit,Canceled,308    4TH  AVE  S  SEATTLE,,4/24/17 HUD. CANCELLED IAW SBC 106.6.9. Tenant improvement on 1st floor of existing 9 story building. Installing 2 new ductless split systems,,,,,,,,,
9/24/2014,6438042-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,FIRE SYSTEMS WEST IS ADDING NOTIFICATION DEVICES FOR TENANT IMPROVEMENTS.,9/24/2015,,,,,,,,
9/18/2014,6437331-RF,Refrigeration Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL REFRIGERATION PIPING,3/18/2016,,,,,,,,
9/12/2014,6436346-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,POWER FOR TEMP OFFICE 9-17-14 BZ changed address from 308 S. Jackson St. to 308 4th Ave S.,9/12/2015,,,,,,,,
9/2/2014,6434677-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"SME WILL INSTALL (6) 1X4 2-LAMP T8 SURFACE FIXTURES, (1) CEILING MOTION SENSOR, (1) CEILING DAYLIGHT SENSOR, (8) DUPLEX RECEPTACLES, (1) SIGN CIRCUIT AND TIME CLOCK, (1) ADDITIONAL WALL HEATER. SME WILL ALSO REMOVE AND REPLACE (4) 20-AMP CIRCUIT BREAKERS. 9/4/14 JCB; ADDRESS CHANGED FROM 2801 ALASKAN WAY. 10/28/14 JCB; ADD 1 20 AMP CKT FOR SPLIT SYSTEM HEAT PUMP.",9/2/2015,,,,,,,,
9/2/2014,6434676-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"SME WILL INSTALL (8) 1X4 2-LAMP T8 SURFACE FIXTURES, (1) EXIT LIGHT FIXTURE, (4) MOTION SENORS, (10) DUPLEX RECEPTACLES, (1) SIGN CIRCUIT AND TIME CLOCK, (1) SPLIT SYSTEM HEAT PUMP. SME WILL ALSO REMOVE AND REPLACE (6) 20 AMP CIRCUIT BREAKERS. 9/4/14 JCB; ADDRESS CHANGED FROM 2801 ALASKAN WAY. 10/28/14 JCB; ADD 2 20 AMP CKTS.",9/2/2015,,,,,,,,
7/18/2014,6427835-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct tenant improvement to existing commercial building for the NW suite on ground floor (Woodrow's Jeweler Suite 113), per plan.",2/12/2016,,,,,,,,
7/18/2014,6427840-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Construct interior tenant improvement for Tsehay Collection in suite 115, Subject to Field Inspection (STFI), per floorplan.",1/18/2016,,,,,,,,
7/15/2014,001-0100410,Rental Property Registration,Active Registration,308    4TH  AVE  S  SEATTLE,,,10/13/2025,,,,,,,,
7/1/2014,6425334-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"CLOSED AS INCOMPLETE - EXPIRED PERMIT. Exterior alteration to existing commercial building (the addison), per site plan subject to field inspection (STFI)",1/1/2016,,,,,,,,
5/29/2014,1032075-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,VIOLATION OF THE HBMC STANDARDS-HOUSING05/28/14-VS-Observed a violation of the HBMC Standards including but not limited to a Bed Bug infestation.,,,,,,,,,
5/20/2014,002794-14CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,VIOLATION OF THE HBMC STANDARDS-HOUSING05/28/14-VS-Observed a violation of the HBMC Standards including but not limited to a Bed Bug infestation.,,,,,,,,,
3/11/2014,6407939-GR,Grading Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Grading to repave and reconfigure a portion of surface parking lot for use by adjacent building, per plan. (Double tagged with and document tracking under 6389212.)",1/30/2017,,,,,,,,
12/6/2013,6395222-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,SME WILL INSTALL ONE DEDICATED CIRCUIT FOR THE ROLL-UP DOOR AT THE NORTH ENTRANCE.,12/6/2014,,,,,,,,
11/15/2013,6392474-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL ADDRESSABLE RELAY TO TRIGGER GATE TO OPEN ON ALARM,11/15/2014,,,,,,,,
11/4/2013,3016463-LU,Master Use Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A) 17,270 sq. ft.; B )22,243 sq. ft.Existing structures to remain.",8/22/2017,,,,,,,,
10/21/2013,6260187-CN-005,Renewal Request,Completed,308    4TH  AVE  S  SEATTLE,,Renew AP # 6260187 from 11/11/13 to 05/11/15,,,,,,,,,
8/6/2013,6260187-CN-004,Shop Drawing,Completed,308    4TH  AVE  S  SEATTLE,,"Shop Drawings - Stairs shop - stairs 7,8,9 per plans. (Type: PREFABST)",,,,,,,,,
7/18/2013,6374293-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,ADDISON ON FOURTH,"MODERNIZATION - CONTROLLER, MACHIN, MOTOR, ROPE GRIPPER, GOVERNOR FRAME, BUFFERS, FIXTURES, DOOR OPERATOR, AND TRAVELER.",1/23/2015,,,,,,,,
7/1/2013,6372033-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,ADDISON ON FOURTH,"MODERANIZATION, CONTROLLER, TRAVELER,MACHINE,MOTOR DEFLECTOR SHEAVE,ROPE GRIPPER,GOVERNER, CALLER GUIDES, DOOR OPERATOR, FIXTURES",1/2/2015,,,,,,,,
7/1/2013,6372030-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,ADDISON ON FOURTH,"MODERANIZATION, CONTROLLER, TRAVELER,MACHINE,MOTOR DEFLECTOR SHEAVE,ROPE GRIPPER,GOVERNER, CALLER GUIDES, DOOR OPERATOR, FIXTURES",1/2/2015,,,,,,,,
6/28/2013,6371811-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,BOILER & PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371810-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,BOILER & PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371809-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,BOILER & PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371803-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,BOILER & PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371763-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL BOILER AND PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371764-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL BOILER AND PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371765-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL BOILER AND PRESSURE VESSEL,12/28/2014,,,,,,,,
6/28/2013,6371761-BP,Boiler/Pressure Vessel Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL BOILER AND PRESSURE VESSEL,12/28/2014,,,,,,,,
5/29/2013,6367246-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,DOWNTOWNER,INSTALL NEW 2-STOP COMMERCIAL VERTICAL PLATFORM LIFT.,12/5/2014,,,,,,,,
4/24/2013,6362607-SB,"Sign, Awning and Canopy Permit",Completed,308    4TH  AVE  S  SEATTLE,ADDISON ON FOURTH,"INSTALL (1) BANNER WALL SIGN FOR ""ADDISON ON FOURTH""",11/1/2014,,,,,,,,
4/18/2013,6361855-CY,Conveyance Permit,Closed,308    4TH  AVE  S  SEATTLE,ADDISION ON FORTH,TEMPORARY OPERATING PERMIT,8/13/2015,,,,,,,,
4/16/2013,SUUMPX203329,Utility Major Permit,In Process,308    4TH  AVE  S  SEATTLE,308 4TH AVE S,E.358715/STTLWA06/W26223/Jeremy Mastroianni 206-345-2897CenturyLink to trench from manhole 474 located 3' south of the C/L of S Main St. Approx +/- 4' S then a 45 degree bend to the SW for approx 26'to face of building. Perform restoration of asphalt on S Main and restoration on curb and sidewalk. Anticipated Start Date: 02/21/2013,11/1/2020,,,,,,,,
4/11/2013,6360836-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,REPLACE 80 FIXTURES & EGRESS LIGHTING AND STAIRWAYS,4/11/2014,,,,,,,,
4/1/2013,6359477-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,INSTALL (3) 20A APPLIANCE CIRCUITS,4/1/2014,,,,,,,,
1/18/2013,6349777-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,TENANT IMPROVEMENT ADDING RECEPS,1/18/2014,,,,,,,,
1/4/2013,6348051-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,DOWNTOWNER,"MODERNIZATION - CONTROLLER, TRAVELER, MACHINE, MOTOR DEFLECTOR SHEAVE, GRIPPER, GOVERNOR, ROLLER GUIDES, DOOR OPERATOR & FIXTURES.",7/14/2014,,,,,,,,
1/4/2013,6348050-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,DOWNTOWNER,"MODERNIZATION - CONTROLLER, TRAVELER, MACHINE, MOTOR DEFLECTOR SHEAVE, GRIPPER, GOVERNOR, ROLLER GUIDES, DOOR OPERATOR & FIXTURES.",7/14/2014,,,,,,,,
1/3/2013,6336362-CN-001,Special Inspection,Completed,308    4TH  AVE  S  SEATTLE,,"Structural Special Inspection for: Remove existing transformer vault, accessory to apartment bldg. and construct new vault adjacent in open space on private lot, per plans.",,,,,,,,,
1/2/2013,6347721-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,TEMPORARY HOOKUP FOR 4 WASHERS AND 4 DRYERS FOR THE NEXT 3 MONTHS,1/2/2014,,,,,,,,
12/31/2012,6347598-FS,Fire Sprinkler and Suppression Permit,Completed,308    4TH  AVE  S  SEATTLE,,"*****SPRINKLER******** Construct alterations and voluntary seismic upgrade to existing mixed-use building, per plans.",11/11/2013,,,,,,,,
11/20/2012,6343112-RF,Refrigeration Permit,Completed,308    4TH  AVE  S  SEATTLE,,INSTALLING LINE SETS FROM (1) CONDENSER TO (2) AH,5/20/2014,,,,,,,,
11/13/2012,6341980-ME,Mechanical Permit,Completed,308    4TH  AVE  S  SEATTLE,,Install three exhaust fans and associated intake louvers for new electrical vault.,7/23/2014,,,,,,,,
11/13/2012,6342036-ME,Mechanical Permit,Completed,308    4TH  AVE  S  SEATTLE,,Install two exhaust fans for elevator equipment.,5/28/2014,,,,,,,,
11/13/2012,6342017-ME,Mechanical Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Install seven exhaust fans, four heat recovery ventilators, one ductless-split system w/ two air handlers & one condenser and associated ducts, grilles, & diffusers.per plans",7/23/2014,,,,,,,,
11/5/2012,1028572-VI,Notice of Violation,Completed,308    4TH  AVE  S  SEATTLE,,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160(C)),,,,,,,,,
10/1/2012,6336766-CY,Conveyance Permit,Completed,308    4TH  AVE  S  SEATTLE,DOWNTOWNER APTS,RELOCATE ELEV #3 (SERVICE) CONTROLLER,5/7/2014,,,,,,,,
9/27/2012,6336362-CN,Construction Permit,Completed,308    4TH  AVE  S  SEATTLE,,"Remove existing transformer vault, accessory to apartment bldg. and construct new vault adjacent in open space on private lot, per plans.",7/11/2014,,,,,,,,
9/27/2012,6260187-CN-003,Revision Request - Building,Completed,308    4TH  AVE  S  SEATTLE,,"Revision to voluntary seismic upgrade, including FRP on interior of N, W, and S elevations, and shotcrete on E elevation.",,,,,,,,,
9/26/2012,6336124-EL,Electrical Permit: Over the Counter,Completed,308    4TH  AVE  S  SEATTLE,,"INSTALLING ACCESS-CONTROL (INTERCOM), A/V, CCTV & TVD SYSTEMS IN NEW OFFICE, LOBBY, FRONT, SIDE & BACK ENTRIES & EXCERCISE ROOM FOR THE DOWNTOWNER-",9/26/2013,,,,,,,,
8/27/2012,6312175-CN-002,Revision Request - Building,Completed,308    4TH  AVE  S  SEATTLE,,Revision to alter basement and add mezzanine area per plan.,,,,,,,,,
