"Address","Zip","District","TotalComplaintRecs","SevereConditions","DisplacementNotices","EvictionNotices","OpenUnresolved","NoHeatComplaints","NoWaterComplaints","SewageComplaints","PermitMatch","TotalPermits","Demolitions","ECA_Exemptions","Add_Alterations","New_Construction","ChangeOfUse","HousingUnitsRemoved","HousingUnitsAdded","OwnerOccClaims","FirstSevereDate","FirstDisplacementDate","FirstDemoPermitDate","LastPermitDate","SevereBeforeDemo","DispNearDemo","YearsActive","Typology"
"3601 44TH AVE SW","98116","1","4","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2009 OCT 01 12:00:00 AM","","","2006-05-25","0","0","2006;2009","Other"
"1562 E GARFIELD ST","98112","3","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019 JUN 17 12:00:00 AM","","","","0","0","2019","Other"
"4540 A S HENDERSON ST","98118","2","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2012 JUN 11 12:00:00 AM","","","","0","0","2012","Other"
"9746 RAINIER AVE S","98118","2","13","2","0","0","7","0","0","2","1","1","0","1","0","0","0","0","0","0","2013 AUG 26 12:00:00 AM","","","","0","0","2013;2018;2019;2021;2022;2023;2024;2025","Other"
"6514 50TH AVE NE","98115","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 SEP 21 12:00:00 AM","","","","0","0","2017;2018","Other"
"8538 MARY AVE NW","98117","5","11","2","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","2021 DEC 09 12:00:00 AM","","","","0","0","2013;2014;2021;2023","Other"
"303 BOSTON ST","98109","7","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 DEC 13 12:00:00 AM","","","","0","0","2004;2014;2022","Other"
"142 NE 55TH ST","98105","6","2","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2015 OCT 02 12:00:00 AM","","","2015-07-09","0","0","2015","Other"
"6301 22ND AVE NW","","6","4","2","1","0","2","2","0","0","1","2","0","0","1","0","0","0","0","0","2022 OCT 24 12:00:00 AM","2024 DEC 19 12:00:00 AM","","2025-09-18","0","0","2022;2024","Other"
"2334 ELLIOTT AVE","98121","7","15","2","0","0","3","0","0","0","1","15","1","0","2","3","1","0","0","0","2017 JUL 21 12:00:00 AM","","2006-08-03","2012-09-19","0","0","2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025","Other"
"6733 18TH AVE NW","98117","6","2","2","0","0","0","2","0","0","1","1","0","0","1","0","0","0","0","0","2010 JUN 01 12:00:00 AM","","","2006-04-11","0","0","2010","Other"
"4316 30TH AVE SW","98126","1","25","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2021 JUL 28 12:00:00 AM","","","","0","0","2010;2011;2013;2014;2015;2016;2017;2019;2021;2022","Other"
"5406 47TH AVE SW","98136","1","4","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2008 SEP 04 12:00:00 AM","","","2008-06-03","0","0","2008;2021","Other"
"1776 NE 62ND ST","98115","4","4","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2006 OCT 10 12:00:00 AM","","","2022-01-22","0","0","2006;2017;2018","Other"
"4318 SW WEBSTER ST","98136","1","8","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2010 APR 30 12:00:00 AM","","","2011-03-15","0","0","2005;2006;2010;2012;2017","Other"
"1115 M L KING JR WAY S","98144","3","6","2","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","2004 MAY 18 12:00:00 AM","2019 SEP 24 12:00:00 AM","","2014-11-17","0","0","2006;2009;2019","Other"
"2810 NE 137TH ST","98125","5","5","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2008 JAN 02 12:00:00 AM","","","2008-02-19","0","0","2008;2009","Other"
"2601 50TH AVE SW","98116","1","2","2","0","0","2","0","0","0","1","10","0","0","1","3","1","0","0","0","2025 AUG 08 12:00:00 AM","","","2025-04-30","0","0","2025","Other"
"5617 31ST AVE SW","98126","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011 APR 04 12:00:00 AM","","","","0","0","2011;2021","Other"
"3702 SW SULLIVAN ST","98126","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2005 AUG 09 12:00:00 AM","","","","0","0","2005","Other"
"4420 S FERDINAND ST","98118","2","4","2","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","2016 APR 25 12:00:00 AM","","","2011-03-30","0","0","2007;2016;2017;2019","Other"
"2568 13TH AVE W","98119","7","2","2","0","0","0","0","0","0","1","3","0","1","1","0","0","0","0","0","2024 MAR 02 12:00:00 AM","","","2024-08-08","0","0","2024","Other"
"9860 RAINIER AVE S","98118","","5","2","0","0","1","0","0","0","1","6","0","2","3","0","0","0","0","0","2014 MAR 12 12:00:00 AM","","","2014-06-14","0","0","2014;2021;2023","Other"
"813 N 44TH ST","98103","6","7","2","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","2013 SEP 13 12:00:00 AM","","","2014-12-31","0","0","2009;2013;2015;2017","Other"
"1921 3RD AVE","98101","7","4","2","0","0","0","0","0","0","1","5","0","0","2","0","0","0","0","0","2012 JAN 17 12:00:00 AM","","","2017-12-29","0","0","2012;2016;2017","Other"
"6021 25TH AVE NE","98115","4","2","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2010 AUG 10 12:00:00 AM","","","2011-04-08","0","0","2010","Other"
"5117 A S ROXBURY ST","98118","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 SEP 07 12:00:00 AM","","","","0","0","2004;2010","Other"
"9227 RENTON AVE S","98118","2","5","2","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","2017 JUN 28 12:00:00 AM","","","2022-03-01","0","0","2017;2018;2020","Other"
"3824 RAINIER AVE S","98118","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025 SEP 14 12:00:00 AM","","","","0","0","2021;2025","Other"
"900 S JACKSON ST","98104","2","14","2","0","0","1","0","0","0","1","33","0","3","19","0","0","0","0","0","2007 JUN 08 12:00:00 AM","","","2020-11-13","0","0","2005;2006;2007;2011;2012;2014;2017;2021","Other"
"1016 E HARRISON ST","98102","3","6","2","0","0","1","2","0","0","1","2","0","0","1","0","0","0","0","0","2009 SEP 16 12:00:00 AM","","","2012-05-07","0","0","2007;2009;2020;2021;2022","Other"
"5935 35TH AVE S","98118","2","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016 DEC 02 12:00:00 AM","","","","0","0","2014;2016;2017","Other"
"10435 41ST AVE SW","98146","1","6","2","0","0","0","0","0","0","1","6","1","0","1","2","0","0","0","0","2007 JUL 03 12:00:00 AM","","2024-09-05","2025-01-28","1","0","2003;2004;2007;2016","SevereBeforeDemo"
"3232 15TH AVE W","98119","7","6","2","0","0","0","0","0","0","1","3","0","1","1","1","0","0","0","0","2003 DEC 02 12:00:00 AM","","","2010-03-02","0","0","2003;2007;2009","Other"
"5032 22ND AVE NE","98105","4","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2009 OCT 30 12:00:00 AM","","","","0","0","2009;2013;2018","Other"
"2020 NE 89TH ST","98115","5","6","2","0","0","2","1","0","0","1","4","0","0","3","0","0","0","0","0","2022 JAN 04 12:00:00 AM","","","2022-08-16","0","0","2022;2023;2024;2025","Other"
"2118 10TH AVE W","98119","7","3","2","0","0","2","0","0","0","1","1","0","0","0","1","0","0","0","0","2023 APR 11 12:00:00 AM","","","2008-07-21","0","0","2023;2024;2025","Other"
"326 ERIE AVE","98122","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2022 MAR 01 12:00:00 AM","","","","0","0","2022","Other"
"12509 35TH AVE NE","98125","5","5","2","1","0","4","0","0","0","1","1","0","0","1","0","0","0","0","0","2023 FEB 01 12:00:00 AM","2023 FEB 23 12:00:00 AM","","2008-01-30","0","0","2008;2023","Other"
"1313 CALIFORNIA AVE SW","98116","1","3","2","2","0","1","0","0","0","1","6","1","2","1","1","0","0","0","0","2008 MAR 03 12:00:00 AM","2008 MAR 03 12:00:00 AM","2008-05-29","2025-11-26","1","1","2008","RedevelopDisplacer|SevereBeforeDemo"
"768 N 75TH ST","98103","6","3","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2005 AUG 19 12:00:00 AM","","","2021-02-22","0","0","2005","Other"
"8310 31ST AVE NW","98117","6","2","2","0","0","1","0","0","1","1","4","0","0","2","0","0","0","0","0","2017 JUN 23 12:00:00 AM","","","2017-10-06","0","0","2017;2025","Other"
"9241 GREENWOOD AVE N","98103","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2022 AUG 28 12:00:00 AM","","","","0","0","2019;2022;2023","Other"
"8440 47TH AVE S","98118","2","4","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2014 JUN 11 12:00:00 AM","","","2016-01-06","0","0","2014","Other"
"2911 25TH AVE W","98199","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2013 NOV 07 12:00:00 AM","","","","0","0","2013","Other"
"4906 S ADAMS ST","98118","2","6","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2023 DEC 01 12:00:00 AM","","","","0","0","2007;2017;2022;2023","Other"
"920 N 34TH ST","98103","4","11","2","1","0","4","0","0","1","1","4","0","0","2","0","0","0","0","0","2004 OCT 20 12:00:00 AM","2024 MAY 17 12:00:00 AM","","","0","0","2004;2006;2014;2017;2018;2019;2022;2024;2025","Other"
"743 N 77TH ST","98103","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2006 SEP 05 12:00:00 AM","","","","0","0","2006","Other"
"3003 HARBOR AVE SW","98126","1","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2024 OCT 17 12:00:00 AM","","","","0","0","2008;2009;2018;2024","Other"
"3805 19TH AVE SW","98106","1","8","2","0","0","0","0","0","0","1","4","0","0","0","1","0","0","0","0","2007 MAY 09 12:00:00 AM","","","2020-08-14","0","0","2004;2007;2020","Other"
"9652 BEACON AVE S","","2","4","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2009 JUL 15 12:00:00 AM","","","","0","0","2009;2023","Other"
"3033 CALIFORNIA AVE SW","98116","1","3","2","1","1","1","0","0","0","1","16","0","0","8","0","0","0","0","0","2018 FEB 28 12:00:00 AM","2024 SEP 25 12:00:00 AM","","2015-04-20","0","0","2018;2023;2024","Other"
"4301 SW MILLS ST","98136","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 JUN 16 12:00:00 AM","","","","0","0","2004;2016;2021","Other"
"6515 38TH AVE S","98118","2","10","2","0","0","0","0","0","0","1","9","0","1","0","2","0","0","0","0","2008 SEP 23 12:00:00 AM","","","2021-06-07","0","0","2004;2008;2009;2012;2017;2020;2021","Other"
"7520 37TH AVE NE","98115","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2013 JAN 22 12:00:00 AM","","","","0","0","2013","Other"
"14040 ROOSEVELT WAY N","98133","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2006 AUG 11 12:00:00 AM","","","","0","0","2006","Other"
"14361 19TH AVE NE","98125","5","3","2","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","2010 JUL 14 12:00:00 AM","","","2006-05-30","0","0","2010;2014","Other"
"210 CROCKETT ST","98109","7","4","2","0","0","0","1","0","0","1","2","0","0","1","0","0","0","0","0","2017 JUL 18 12:00:00 AM","","","2020-02-26","0","0","2015;2017","Other"
"3020 18TH AVE S","98144","2","3","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2018 APR 06 12:00:00 AM","","","2021-04-17","0","0","2018","Other"
"4856 DELRIDGE WAY SW","98106","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2006 MAY 17 12:00:00 AM","","","","0","0","2006;2007","Other"
"3515 MERIDIAN AVE N","98103","4","2","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2023 DEC 21 12:00:00 AM","","","2014-06-04","0","0","2023","Other"
"3402 22ND AVE W","","7","7","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2018 OCT 23 12:00:00 AM","2016 JUL 22 12:00:00 AM","","","0","0","2016;2018;2019","Other"
"1023 CALIFORNIA LN SW","98116","1","4","2","0","0","2","0","0","0","1","19","0","5","4","0","0","0","0","0","2024 MAY 06 12:00:00 AM","","","2018-06-06","0","0","2021;2022;2024;2025","Other"
"1521 15TH AVE","98122","3","20","2","1","1","9","1","2","0","1","2","0","0","0","0","0","0","0","0","2025 AUG 26 12:00:00 AM","2025 NOV 02 12:00:00 AM","","2015-12-11","0","0","2015;2016;2017;2018;2020;2023;2025","UtilityLever"
"11557 GREENWOOD AVE N","98133","5","6","2","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2024 SEP 20 12:00:00 AM","2024 SEP 20 12:00:00 AM","","","0","0","2019;2024","Other"
"603 NW 85TH ST","98117","6","2","2","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","2004 APR 12 12:00:00 AM","","2006-08-18","2006-08-18","1","0","2004","SevereBeforeDemo"
"1527 E SPRUCE ST","98122","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2009 MAR 02 12:00:00 AM","","","","0","0","2009;2021;2022","Other"
"407 S TRENTON ST","98108","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 JUN 15 12:00:00 AM","","","","0","0","2017","Other"
"4002 S HOLLY ST","98118","2","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011 MAR 01 12:00:00 AM","","","","0","0","2011;2022;2023","Other"
"3606 NE 55TH ST","98105","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 NOV 04 12:00:00 AM","","","","0","0","2004;2005;2010","Other"
"6045 47TH AVE SW","98136","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 AUG 18 12:00:00 AM","","","","0","0","2015;2017","Other"
"120 NE 52ND ST","98105","6","2","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2010 DEC 02 12:00:00 AM","","","2010-12-03","0","0","2010","Other"
"6718 A RAINIER AVE S","98118","2","5","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","2021 JUL 02 12:00:00 AM","","","","0","0","2019;2021;2022;2023","Other"
"4614 3RD AVE NW","98107","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024 APR 23 12:00:00 AM","","","","0","0","2024","Other"
"2860 S ORCAS ST","98108","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2007 JUN 19 12:00:00 AM","","","","0","0","2007;2014","Other"
"7008 29TH AVE NE","98115","4","6","2","1","0","0","0","0","0","1","4","1","0","0","2","0","0","0","0","2017 SEP 07 12:00:00 AM","2023 DEC 11 12:00:00 AM","2024-03-06","2024-03-06","1","1","2006;2017;2023","RedevelopDisplacer|SevereBeforeDemo"
"2733 NE 94TH ST","98115","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016 AUG 25 12:00:00 AM","","","","0","0","2016","Other"
"1545 NW MARKET ST","98107","6","30","2","2","0","13","0","0","0","1","39","1","0","15","5","0","0","0","0","2020 JAN 13 12:00:00 AM","2006 SEP 21 12:00:00 AM","2007-02-01","2018-11-01","0","1","2006;2007;2015;2016;2017;2019;2020;2022;2023;2024;2025","RedevelopDisplacer"
"728 21ST AVE E","98112","3","2","2","0","0","0","0","0","0","1","10","0","0","4","1","0","0","0","0","2005 NOV 08 12:00:00 AM","","","2019-06-14","0","0","2005","Other"
"224 FLORENTIA ST","98109","7","4","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2008 AUG 07 12:00:00 AM","","","","0","0","2008;2019","Other"
"412 NE 63RD ST","98115","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 NOV 02 12:00:00 AM","","","","0","0","2017","Other"
"6254 5TH AVE NW","98107","6","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018 MAR 09 12:00:00 AM","","","","0","0","2018","Other"
"6555 5TH AVE NE","98115","6","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2018 JUL 05 12:00:00 AM","","","","0","0","2018","Other"
"611 22ND AVE","98122","3","8","2","0","0","1","0","0","1","1","7","2","0","0","3","0","0","0","0","2008 NOV 18 12:00:00 AM","","2005-09-07","2015-11-14","0","0","2007;2008;2009;2012;2016;2018;2019","Other"
"4605 1ST AVE NE","98105","4","3","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2024 APR 10 12:00:00 AM","","","","0","0","2019;2024","Other"
"910 N 85TH ST","98103","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2014 AUG 01 12:00:00 AM","","","","0","0","2006;2014","Other"
"2553 WEST MONTLAKE PL E","98112","3","2","2","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","2016 NOV 14 12:00:00 AM","","","2023-09-14","0","0","2016","Other"
"105 22ND AVE E","98112","3","10","2","0","0","4","0","0","0","1","1","1","0","0","0","0","0","0","0","2013 MAR 11 12:00:00 AM","","","","0","0","2009;2013;2021;2022;2023;2025","Other"
"7549 28TH AVE NW","98117","6","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2008 FEB 29 12:00:00 AM","","","","0","0","2008","Other"
"9030 GREENWOOD AVE N","98103","5","10","2","1","1","1","0","0","0","1","2","0","0","1","0","0","0","0","0","2006 SEP 29 12:00:00 AM","2024 MAY 07 12:00:00 AM","","2016-08-01","0","0","2006;2011;2016;2023;2024","Other"
"3506 47TH AVE NE","98105","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011 DEC 01 12:00:00 AM","","","","0","0","2011","Other"
"1808 E THOMAS ST","98112","3","3","2","1","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2018 MAR 21 12:00:00 AM","2023 MAR 03 12:00:00 AM","","2017-07-27","0","0","2018;2023","Other"
"8648 18TH AVE SW","98106","1","3","2","0","0","1","0","0","2","1","1","0","0","0","0","0","0","0","0","2016 MAY 03 12:00:00 AM","","","2025-04-22","0","0","2016","Other"
"7765 HIGHLAND PARK WAY SW","98106","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012 DEC 06 12:00:00 AM","","","","0","0","2012","Other"
"901 6TH AVE","98104","7","20","2","2","1","7","0","0","0","1","3","0","0","2","0","0","0","0","0","2016 AUG 18 12:00:00 AM","2019 DEC 09 12:00:00 AM","","2022-08-26","0","0","2005;2008;2016;2018;2019;2020;2023;2024;2025","Other"
"2415 2ND AVE","98121","7","11","2","1","1","4","0","0","0","1","5","0","0","2","0","0","0","0","0","2024 AUG 28 12:00:00 AM","2024 MAR 07 12:00:00 AM","","2018-09-07","0","0","2009;2016;2018;2020;2023;2024","Other"
"7832 STROUD AVE N","98103","6","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011 NOV 15 12:00:00 AM","","","","0","0","2011;2022","Other"
"5209 M L KING JR WAY S","98118","2","8","2","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","2017 NOV 21 12:00:00 AM","","","2007-05-11","0","0","2004;2017;2018;2023;2025","Other"
"4830 36TH AVE NE","98105","4","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2021 DEC 15 12:00:00 AM","","","","0","0","2021;2022;2023","Other"
"9203 12TH AVE NE","98115","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 NOV 07 12:00:00 AM","","","","0","0","2017;2023;2024","Other"
"3541 SW 97TH ST","98126","1","14","2","1","1","3","0","0","0","1","4","0","0","1","0","0","0","0","0","2023 DEC 14 12:00:00 AM","2020 JUN 24 12:00:00 AM","","2024-10-23","0","0","2016;2018;2019;2020;2021;2022;2023","Other"
"9035 46TH AVE S","98118","2","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016 MAY 23 12:00:00 AM","","","","0","0","2006;2007;2008;2011;2013;2015;2016;2017","Other"
"9044 9TH AVE SW","98106","1","9","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2006 AUG 08 12:00:00 AM","","","","0","0","2006;2020;2021;2022","Other"
"4853 S ORCAS ST","98118","2","3","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2016 DEC 20 12:00:00 AM","","","2015-08-18","0","0","2016","Other"
"1409 N 39TH ST","98103","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 AUG 08 12:00:00 AM","","","","0","0","2017","Other"
"8346 25TH AVE NW","98117","6","6","2","0","0","1","0","0","0","1","4","0","0","2","0","0","0","0","0","2020 JAN 10 12:00:00 AM","","","2020-09-10","0","0","2014;2020","Other"
"8201 GREENWOOD AVE N","98103","6","6","2","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","2009 JUN 22 12:00:00 AM","","","2018-04-25","0","0","2009;2018;2025","Other"
"9542 9TH AVE NW","98117","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 NOV 03 12:00:00 AM","","","","0","0","2004;2005;2006","Other"
"5406 NE 74TH ST","98115","4","4","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2017 NOV 01 12:00:00 AM","","","","0","0","2004;2017","Other"
"4111 21ST AVE SW","98106","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016 APR 21 12:00:00 AM","","","","0","0","2016;2024","Other"
"7118 CALIFORNIA AVE SW","98136","1","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2024 OCT 01 12:00:00 AM","","","","0","0","2024;2025","Other"
"708 6TH AVE N","98109","7","13","2","0","0","2","0","0","0","1","8","1","0","2","1","0","0","0","0","2014 NOV 13 12:00:00 AM","","2011-05-26","2015-04-30","0","0","2012;2014;2019;2020;2021;2022;2025","Other"
"4400 48TH AVE SW","98116","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2014 AUG 27 12:00:00 AM","","","","0","0","2014;2017","Other"
"4415 48TH AVE SW","98116","1","3","2","0","0","0","0","0","2","1","3","1","0","0","1","0","0","0","0","2018 MAR 22 12:00:00 AM","","2018-03-14","2018-03-14","1","0","2018","SevereBeforeDemo"
"810 NE 69TH ST","98115","4","8","2","0","0","0","0","0","0","1","7","2","0","0","2","0","0","0","0","2014 JUL 14 12:00:00 AM","","2019-07-18","2020-01-22","1","0","2014;2016;2017;2018","SevereBeforeDemo"
"8528 20TH AVE NW","98117","6","2","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2006 AUG 29 12:00:00 AM","","","2013-05-15","0","0","2006","Other"
"1434 32ND AVE","98122","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2009 MAR 11 12:00:00 AM","","","","0","0","2008;2009","Other"
"3300 YORK RD S","98144","2","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2019 MAY 31 12:00:00 AM","","","","0","0","2019;2025","Other"
"7502 1ST AVE NE","98115","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017 JUL 12 12:00:00 AM","","","","0","0","2005;2015;2017","Other"
"3802 S CLOVERDALE ST","","2","7","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2004 AUG 16 12:00:00 AM","","","","0","0","2004;2012;2018","Other"
"1115 27TH AVE","98122","3","12","2","2","0","4","0","0","0","1","2","0","0","1","0","0","0","0","0","2022 FEB 28 12:00:00 AM","2024 AUG 31 12:00:00 AM","","2025-02-13","0","0","2018;2019;2022;2023;2024;2025","Other"
"9032 3RD AVE NW","98117","5","31","2","0","0","0","1","0","0","1","6","1","0","2","1","0","0","0","0","2017 JAN 30 12:00:00 AM","","","2018-05-20","0","0","2006;2007;2008;2010;2011;2015;2016;2017;2018","Other"
"6001 35TH AVE NE","98115","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2014 MAY 19 12:00:00 AM","","","","0","0","2013;2014;2016","Other"
"4334 S HOLDEN ST","98118","2","4","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2014 DEC 12 12:00:00 AM","","","","0","0","2014","Other"
"1323 13TH AVE S","98144","2","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2025 OCT 09 12:00:00 AM","","","","0","0","2025","Other"
"4021 RENTON AVE S","98108","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2015 MAR 20 12:00:00 AM","","","","0","0","2015","Other"
"2340 N 58TH ST","","6","10","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2020 JUL 08 12:00:00 AM","","","","0","0","2017;2018;2020","Other"
"622 RAINIER AVE S","","3","27","2","0","0","5","0","0","0","1","10","2","0","1","2","0","0","0","0","2004 NOV 22 12:00:00 AM","","2021-03-08","2021-06-22","1","0","2004;2015;2016;2017;2018;2019;2020;2021;2025","SevereBeforeDemo"
"6917 52ND AVE S","98118","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023 JAN 24 12:00:00 AM","","","","0","0","2023","Other"
"2124 MONTVALE PL W","98199","6","7","2","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","2011 OCT 10 12:00:00 AM","","","2012-09-05","0","0","2011;2014;2017;2019;2025","Other"
"7036 27TH AVE NW","98117","6","2","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2009 OCT 07 12:00:00 AM","","","2009-10-15","0","0","2009","Other"
"4801 S OREGON ST","98118","2","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2003 NOV 10 12:00:00 AM","","","","0","0","2003;2008;2011;2016","Other"
"6017 27TH AVE NE","98115","4","4","2","0","0","0","0","0","2","1","3","1","0","0","1","0","0","0","0","2015 FEB 03 12:00:00 AM","","2015-09-09","2015-09-09","1","0","2010;2015","SevereBeforeDemo"
"3826 RENTON AVE S","98108","2","3","2","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","2018 JUN 07 12:00:00 AM","","","2018-06-28","0","0","2018;2025","Other"
"4954 ERSKINE WAY SW","98116","1","7","2","0","0","1","0","0","0","1","2","0","0","2","0","0","0","0","0","2012 APR 11 12:00:00 AM","","","2012-04-25","0","0","2008;2012;2015;2024;2025","Other"
"400 E DENNY WAY","98122","3","3","2","0","0","2","0","0","0","1","2","0","0","1","0","0","0","0","0","2021 JUL 14 12:00:00 AM","","","","0","0","2021;2022","Other"
"2830 NW GOLDEN DR","98117","6","3","2","0","0","0","0","0","0","1","3","0","1","2","0","0","0","0","0","2013 APR 04 12:00:00 AM","","","2013-04-17","0","0","2010;2013","Other"
"2334 FRANKLIN AVE E","","3","14","2","0","0","1","0","0","0","1","10","2","0","0","2","0","0","0","0","2023 FEB 21 12:00:00 AM","","2023-01-20","2023-01-20","1","0","2018;2022;2023;2025","SevereBeforeDemo"
"11026 28TH AVE NE","98125","5","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012 OCT 03 12:00:00 AM","","","","0","0","2010;2011;2012","Other"
