RECORDNUM,ADDRESS,ZIP,DISTRICT,OPENDATE,OPENYEAR,STATUS,LASTINSPRESULT,RECORDTYPE,CATEGORIES,HIT_PHRASES,HAS_PERMIT_OVERLAP,DESCRIPTION_SNIPPET
"005843-21CP","8306 LINDEN AVE N","98103","6","2021 JUL 22 12:00:00 AM","2021","COMPLETED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","PER ONLINE; DEMOLITION OCCURRING WITHOUT PERMITS DISPLAYED. DEMOLITION DEBRIS INCLUDING BROKEN GLASS AND OTHER HAZARDS IN THE PUBLIC RIGHT-OF-WAY ON THE PLANTER STRIP."
"005854-21CP","2301 24TH AVE S","98144","2","2021 JUL 22 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","REMODELING A DUPLEX INTO A TRIPLEX WITHOUT A PERMIT"
"005874-21CP","1717 E YESLER WAY","98122","3","2021 JUL 26 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","THERE IS CONSTRUCTION WORK BEING CONDUCTED WITHOUT A PERMIT AT THIS LOCATION. THIS BUILDING ITSELF IS COLLAPSING AND HAS UNSAFE ELECTRICAL PROBLEMS. THIS CONSTRUCTION HAS BEEN HAPPENING OVER THE PAST TWO YEARS.I HAD A BRIEF CHAT ON THE SIDEWALK WITH "
"005931-21CP","1813 THORNDYKE AVE W","98199","7","2021 JUL 26 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","ECA AREA CONST WITHOUT A PERMIT/BLDG LONG BOARD THAT IS TOO LONG LOOKS LIKE A CODE VIOLATION & HEIGHT RESTRICTIONS"
"005942-21CP","3241 63RD AVE SW","98116","1","2021 JUL 27 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","PER ONLINE; LARGE UNPERMITTED CONSTRUCTION PROJECT THAT INVOLVES AN ENTIRELY NEW STANDALONE BUILDING AND A MAJOR INCREASE/CHANGE OF A SMALL OUTBUILDING.  IT ASSUREDLY CHANGES THE FOOTPRINT OF BUILDINGS ON THE PROPERTY AND APPEARS TO BE CREATING MULTI"
"005945-21CP","5217 5TH AVE NE","98105","6","2021 JUL 27 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","CLEAN OUT ADDED TO A SIDE SEWER. NO PERMIT LISTED REFERANCED TO THIS ADDRESS.THEREFORE NO INSPECTION BEFORE THE WORK WAS BACKFILLED. THIS WORK WAS DONE LAST WEEK."
"006018-21CP","1414 E VALLEY ST","98112","3","2021 JUL 28 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GARAGE BEING CONVERTED TO DWELLING UNIT. CURRENT CONSTRUCTION INVOLVES RUNNING A BULLDOZER WITH TRENDS IN ALLEY, WHICH HAS CAUSED DETERIORATION OF ALLEY. THE GARAGE ON THE PROPERTY HAS BEEN GUTTED, SKYLIGHTS WERE ADDED. A NEW WATER HEATER WAS SITTING"
"006055-21CP","2611 S WARSAW ST","98108","2","2021 JUL 29 12:00:00 AM","2021","UNDER INVESTIGATION","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","BUILDING OVER PROPERTY LINE/HEIGHT RESTRICTIONS NO PERMITS"
"006063-21CP","705 NW 70TH ST","","6","2021 JUL 29 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","7/29/21 SDCI MECHANICAL INSPECTOR WAS ONSITE AND NOTICED NEW TYPE I KITCHEN HOOD INSTALLED; THERE WAS NO PERMIT OR INSPECTIONS"
"006082-21CP","1555 NE 91ST ST","98115","5","2021 JUL 29 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CODE VIOLATIONS AT NEW CONSTRUCTION PROJECT. THERE HAS BEEN EXTENSIVE EXCAVATING AND MOVING OF SOIL ON THE PROPERTY CHANGING THE GRADE. THE GRADE HAS BEEN LOWERED ON THE WEST SIDE OF THE PROPERTY AND A BLOCK RETAINING WALL HAS BEEN BUILT IN FRONT OF "
"006162-21CP","5001 8TH AVE NE","","4","2021 AUG 02 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT|WORK_WITHOUT_PERMIT","DEMOLITION|WITHOUT A PERMIT","YES","PER ONLINE; DEMOLITION OF HOUSING AND CONSTRUCTION WITHOUT A PERMIT."
"006187-21CP","10707 28TH AVE NE","98125","5","2021 AUG 02 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","FROM PROPERTY LISTING APPEARS TO BE A VERY UNPERMITTED DADU IN THE LOWER LEVEL OF THIS RESIDENCE.HTTPS://WWW.REDFIN.COM/WA/SEATTLE/10707-28TH-AVE-NE-98125/HOME/111740PRIOR SALES PHOTOS SHOW WORK WAS DONE POST 2008 AND UNABLE TO LOCATE ANY PERMITS IN "
"006224-21CP","106 N 100TH ST","98133","5","2021 AUG 03 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","THIS HOUSE HAS BEEN FULLY REMODELED INCLUDING PLUMBING, ELECTRICAL, ROOF, WINDOWS, SIDING. IT HAS ONLY PULLED ONE PERMIT FOR A SEWER LINE. THE HOUSE IS BEING SOLD AND IS NOW UNDER CONTRACT. THE SELLER DID NOT PULL ANY PERMITS FOR THIS PROJECT. THEY A"
"006297-21CP","4215 NE 125TH ST","98125","5","2021 AUG 04 12:00:00 AM","2021","COMPLETED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","PER ONLINE; THIS CONSTRUCTION DIDN'T ""DISPLAY YOUR PERMIT. PLACE YOUR PERMIT IN A VISIBLE LOCATION ON THE PROJECT SITE."" AS SPECIFIED ON THE SEATTLE CITY WEBSITE. IMAGINE MY SURPRISE WHEN THE ENTIRE HOUSE WAS TORN DOWN THIS MORNING."
"006338-21CP","413 27TH AVE E","98112","3","2021 AUG 04 12:00:00 AM","2021","CLOSED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","EXCAVATION ALONG SIDEWALKEMBANKMENT (PRIVATEPROPERTY SIDE). NO PERMITS."
"006399-21CP","2142 N 51ST ST","98103","6","2021 AUG 07 12:00:00 AM","2021","CLOSED","","REQUEST","DISPLACEMENT_CONSTRUCT|MOLD_MOISTURE|WORK_WITHOUT_PERMIT","DEMOLITION|MOLD|WITHOUT A PERMIT","YES","DEMOLITION WITHOUT A PERMIT(?) OF A HOUSE WITH A PREVIOUS NOTICE ABOUT BLACK MOLD."
"006450-21CP","5570 22ND AVE S","98108","2","2021 AUG 09 12:00:00 AM","2021","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","REMODELING A SFR WITHOUT A PERMIT (NOT PER PROJECT 9706615/PERMIT 695531STRUCTURAL BUILDING INSPECTOR - JAMES FACKLER POSTED A STOP WORK ORDER ON 8/6/2021"
"006539-21CP","5001 8TH AVE NE","98105","4","2021 AUG 11 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","MASS_DISPLACEMENT|WORK_WITHOUT_PERMIT","ALL TENANTS|NO PERMIT","YES","THIS OWNER BUILT A PROJECT AT 50TH AND 7TH THAT WE FEEL IS ILLEGAL ALTHOUGH THEY DID OBTAIN A PERMIT.  WE HIRED AN ATTORNEY TO HELP US UNDERSTAND HOW IT WAS PERMITTED.  THE HOUSE AT 5001 HAS NO PERMITS.  THE LANDLORD REQUIRED ALL TENANTS TO MOVE AT T"
"006622-21CP","11558 FREMONT AVE N","98133","5","2021 AUG 13 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","POSSIBLE NO PERMIT FOR NEW DWELLING"
"006623-21CP","4547 19TH AVE NE","98105","4","2021 AUG 10 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","NO_REPAIRS","MANAGEMENT REFUSES","YES","MANAGEMENT REFUSES TO REPAIR APPLIANCES IN KITCHEN, OUTSIDE DOORS, THE LOCK ON MY APARTMENT DOOR, ALL OF MY WINDOWS ARE BROKEN, HANDRAILS MISSING ON STAIRS,  NO DOOR HANDLE IN HALLWAY DOOR."
"006624-21CP","11558 FREMONT AVE N","98133","5","2021 AUG 13 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING WITHOUT A PERMIT IN BACK OF EXISTING HOUSE ALSO THE STRUCTURE IS BUTTING AGAINST PROPERTIES NEARBY"
"006686-21CP","4045 48TH AVE SW","98116","1","2021 AUG 16 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","UNPERMITTED CONSTRUCTION"
"006722-21CP","8029 MARY AVE NW","98117","6","2021 AUG 16 12:00:00 AM","2021","COMPLETED","","REQUEST","UTILITIES_CUT","NO WATER","YES","CONSTRUCTION PROJECTW/PERMIT #6787931-CNIS DIGGING CLOSE TOTHE ROOTS OF TREES.NOT ENOUGH PROTECTION IN PLACEAND NO WATERING."
"006727-21CP","2524 11TH AVE W","","7","2021 AUG 17 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","CONSTRUCTION OF A PORCH/DECK WAS BEGUN FEBRUARY 2020 CONTINUING TO THE PRESENT OF AN EXTENSION TO THE PROPERTY. THERE MAY BE CODE VIOLATION DUE TO BUILDING LAND RATIO.THE EXTENSION IS APPROXIMATELY 5 FOOT HIGH 300 SQUARE FOOT PORCH/DECK WITH POURED C"
"006728-21CP","5610 14TH AVE NW","98107","6","2021 AUG 17 12:00:00 AM","2021","CLOSED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","PER ONLINE; ONE OF THE STRUCTURES ON THE PROPERTY WAS DEMOLISHED AS OF YESTERDAY. THE STRUCTURE HAD ASBESTOS SIDING AND NO ABATEMENT WAS PERFORMED. THE CONSTRUCTION CREW IS CURRENTLY LOADING A DUMPSTER WITH ALL OF THE DEMOLITION WASTE."
"006802-21CP","4015 NE 56TH ST","98105","4","2021 AUG 18 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMO PERMIT","YES","TREE CUTTING (AGAIN) IN BACKLOT, OWNER SAYS IT IS COVERED UNDER HIS DEMO PERMIT. WE'RE LOSING ALL OUR TREES ON THIS STREET"
"006808-21CP","5216 SW CANADA DR","98136","1","2021 AUG 18 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","INTERIOR ALTERATIONS WITHOUT A PERMIT"
"006837-21CP","118 A 26TH AVE E","98112","3","2021 AUG 19 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","PER ONLINE; THERE IS CONSTRUCTION AT 116 26TH AVE EAST.  THEY ARE BUILDING TWO SINGLE FAMILY RESIDENCES. I LIVE AT THE ADJACENT PROPERTY ON 112 26TH AVE EAST. AS PART OF THIS PROJECT MY FENCE AND DECK HAVE BEEN DEMOLISHED. THERE HAS ALSO BEEN SIGNIFI"
"006895-21CP","1212 E SHELBY ST","98102","","2021 AUG 20 12:00:00 AM","2021","COMPLETED","NO ACCESS/UNABLE TO OBSERVE","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","PER ONLINE; ONGOING UNPERMITTED CONSTRUCTION INCLUDING STRUCTURAL, ELECTRIC,AL, PLUMBING, WATER,SEWER, ETC.   ONGOING FOR OVER A YEAR.   FLOATING HOME OWNED BY DARREN B WILLIAMS.  OWNERS CELL 206-495-6895.  1212 E SHELBY #1. FLOATING HOME AT END OF D"
"006912-21CP","9322 47TH AVE SW","98136","1","2021 AUG 21 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","PER ONLINE; LOTS OF GRADING AND GUTTING OF A HOUSE.  BASEMENT HAS BEEN DUG OUT AND I DON'T SEE A PERMIT ON FILE."
"006919-21CP","5630 11TH AVE NE","98105","4","2021 AUG 22 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE; POTENTIAL LAND USE VIOLATION: CONSTRUCTION W/OUT A BUILDING PERMIT, STRUCTURE W/IN REQUIRED SETBACKS. | TALL TWO-STORY STRUCTURE IS BEING BUILT ON ALLEY-SIDE OF EXISTING SINGLE-FAMILY HOUSE; NO PERMIT RECORDS FOUND."
"006971-21CP","903 33RD AVE","98122","3","2021 AUG 23 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","CONSTRUCTION OF DECK ON THE BACK AND INTERIOR REMODEL WITH NO PERMITS"
"007005-21CP","166 25TH AVE","","3","2021 AUG 25 12:00:00 AM","2021","UNDER INVESTIGATION","","REQUEST","WORK_WITHOUT_PERMIT","CONSTRUCTION WITHOUT PERMIT","YES","PER ONLINE; CONSTRUCTION WITHOUT PERMITS"
"007043-21CP","1423 N 52ND ST","98103","6","2021 AUG 26 12:00:00 AM","2021","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","1423 N 52ND STREET HAS TURNED THE SINGLE FAMILY HOME INTO A DUPLEX RECENTLY. THERE ARE NOW CLEARLY TWO FRONT DOORS AND THE OWNER ADVERTISES THE HOUSE AS A DUPLEX ON AIRBNB WITH A SEPERATE KITCHEN UPSTAIRS. THERE ARE NO PERMITS ON FILE INDICATING THAT"
"007052-21CP","1610 N 143RD ST","98133","5","2021 AUG 26 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","PER SDOT INSPECTORALI BERMANI, VIOLATIONSARE BEING COMMITTEDAND NO CERTIFICATE OFOCCUPANCY SHOULD BE ISSUED UNTIL HEMEETS CODES.  HEHAS INSTALLED ANUNPERMITTED DRIVEWAY AND ACCESSING WATER ILLEGALLY.  SPU ANDSDOT ARE INVOLVED,"
"007065-21CP","3253 23RD AVE W","98199","7","2021 AUG 26 12:00:00 AM","2021","CLOSED","NO ACCESS/UNABLE TO OBSERVE","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","UNPERMITTED REMODEL"
"007078-21CP","5517 17TH AVE NE","98105","4","2021 AUG 27 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","MAJOR INTERIOR CONSTRUCTION STARTED 8/26/21 AT 5517 17TH AVE NE.  THERE IS NO ACTIVE OR SUBMITTED CONSTRUCTION PERMIT.  DEMOLITION WORKER ADVISED ME THAT MULTIPLE WALLS AND A BATHROOM UPSTAIRS WAS BEING REMOVED AND THE MASTER BEDROOM SUITE WAS BEING "
"007143-21CP","5517 17TH AVE NE","98105","4","2021 AUG 27 12:00:00 AM","2021","COMPLETED","","REQUEST","DISPLACEMENT_CONSTRUCT|WORK_WITHOUT_PERMIT","DEMOLITION|WITHOUT A PERMIT","YES","PER ONLINE; MAJOR INTERIOR DEMOLITION AND REBUILDING OF BATHROOMS AND BEDROOMS WITHOUT A PERMIT"
"007146-21CP","5980 SEAVIEW AVE NW","98107","6","2021 AUG 28 12:00:00 AM","2021","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","CONSTRUCTION WITHOUT PERMIT","YES","ILLEGAL CONSTRUCTION WITHOUT PERMIT IN MAPPED ENVIRONMENTALLY CRITICAL AREA. PART TIME RESIDENTIAL STRUCTURE THAT APPEARS TO BE LIVED IN PART TIME IN ENVIRONMENTALLY CRITICAL AREA. STRUCTURE IS VISIBLE FROM BOTH SEAVIEW AVE NW AND NW 37TH PL."
"007170-21CP","1220 42ND AVE E","98112","3","2021 AUG 30 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","THEY ARE ACTIVELY DEMOLISHING THE PROPERTY. THERE IS A WORK CREW INSIDE REMOVING WINDOWS AND DOORS. THEY ALSO HAVE A LARGE COMMERCIAL VEHICLE PARKED ON PROPERTY FOR THE REMOVAL OF JUNK.  BEGINING 8/22 CREWS HAVE BEEN ON THE PROPERTY DEMOING.  A LETTE"
"007265-21CP","2517 EASTLAKE AVE E","98102","3","2021 SEP 01 12:00:00 AM","2021","CLOSED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","PER ONLINE: DUST AND DEBRIS COME FROM CONSTRUCTION SITE AFFECT LOCAL AIR QUALITY."
"007296-21CP","3247 WALNUT AVE SW","98116","1","2021 AUG 31 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","PESTS","ROACH","YES","BUILDING DECK/FRONT PORCH NOT UP TO CODE, ENCROACHING 25FT SETBACK"
"007329-21CP","220 2ND AVE S","98104","1","2021 SEP 02 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BELIEVES WORKING WITHOUT PERMITS PER NEW OWNERS AND PERMITS ON RECORD ISSUEDPRIOR TO SALE."
"007331-21CP","1200 NE 45TH ST","98105","4","2021 SEP 02 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","PER ONLINE; RE: MASTER USE PERMIT 3031554-LU, CONSTRUCTION PERMIT 6710773-CN, CONTRACTOR LISTED: EXXEL PACIFIC CONSTRUCTION.         CONTRACTORS ARE DEMOLISHING A BUILDING AT:  1200 NE 45TH ST (OLD KEY BANK BUILDING).  AT APPROX. 1030AM, THUR. SEPT 2"
"007403-21CP","4042 NE 109TH ST","","5","2021 SEP 07 12:00:00 AM","2021","CLOSED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","PER ONLINE; NO BUILDING PERMIT NOTED ON THE CITY WEBSITE, OR DISPLAYED AT THE PROPERTY FOR DEMOLITION AND CONSTRUCTION AT REAR OF HOUSE - CARPENTRY, FOUNDATION, ELECTRICAL WORK IS BEING DONE AT THAT LOCATION ON AN ADDITION - A ROOM OF SOME KIND WITH "
"007420-21CP","4142 19TH AVE SW","98106","1","2021 SEP 07 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE; AS OF 9/7/21, I CAN'T FIND A NEW BUILDING PERMIT ON FILE FOR THIS RESIDENCE. THUS, HOMEOWNER CONTINUES TO BUILD ROOF-TOP DECK AND ADDITION ILLEGALLY AFTER BUILDING CODE VIOLATION AND STOP WORK ORDER WAS ISSUED ON 7/12/21 BY SDCI. PLEASE V"
"007430-21CP","13203 FRAZIER PL NW","","5","2021 SEP 07 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","PER ONLINE; ANDREW AND PAULA BENSON AT 13203 FRAZIER PL NW ARE BUILDING A RETAINING WALL ON OUR PROPERTY WITHOUT A PERMIT.  THE RETAINING WALL RUNS ALONG A WOODEN FENCE WEST OF THE AFOREMENTIONED ADDRESS.THEY ARE REGRADING THE LAND IN A WAY THAT PLAC"
"007462-21CP","7511 41ST AVE NE","98115","4","2021 SEP 07 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","NO DUST CONTROL,BELIEVES NO PERMITFOR FENCE ON TOP OFRETAINING WALL"
"007550-21CP","2807 E MARION ST","98122","3","2021 SEP 10 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","2ND STORY ADDITION TO DETACHED GARAGE WITHOUT A PERMIT."
"007565-21CP","310 N 60TH ST","98103","6","2021 SEP 12 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE; EXTENSIVE REMODEL WITH NO PERMIT ON FILE"
"007571-21CP","1423 N 52ND ST","98103","6","2021 SEP 12 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE; 1423 N 52ND STREET HAS BEEN UNDERGOING MAJOR HOUSE RENOVATIONS AT THE BACK OF THE HOUSE INCLUDING CUTTING INTO THE CONCRETE FOUNDATION TO CREATE A DOOR WAY FOR MORE LIVING SPACE. THERE ARE NO PERMITS ON RECORD."
"007611-21CP","2117 NW 95TH ST","98117","5","2021 SEP 13 12:00:00 AM","2021","CLOSED","","REQUEST","DISPLACEMENT_CONSTRUCT","TEAR DOWN","YES","PER ONLINE; OLD HOUSE TEAR DOWN WITHOUT DUST ABATEMENT."
"007629-21CP","6038 41ST AVE SW","98136","1","2021 SEP 14 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","PER ONLINE: AN UNPERMITTED RETAINING WALL WAS INSTALLED ON THE PROPERTY LINE BETWEEN MY PROPERTY AT 6030 41ST AVE SW AND 6036 41ST AVE SW. THE DIFFERENCE IN ELEVATION OF THE TWO PROPERTIES IS ABOUT 3.5 FEET, AND THE RETAINING WALL CURRENTLY IS ABOUT "
"007645-21CP","7531 S TAFT ST","98178","2","2021 SEP 14 12:00:00 AM","2021","UNDER INVESTIGATION","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","EXCAVATION, DIGGING AND POSSIBLY TREE REMOVAL WITHOUT A PERMIT."
"007684-21CP","2059 E CRESCENT DR","98112","3","2021 SEP 15 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","REMODELING GOING ON INSIDE THIS PROPERTY - THEY HAVE TAKEN DOWN THE LANDSCAPE - REBAR ABUTS TO RETAINING WALL DOES NOT LOOK LIKE ANY PERMITS WERE ISSUED"
"007686-21CP","2059 E CRESCENT DR","98112","3","2021 SEP 15 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","MAJOR CONSTRUCTION GOING ON HERE NO PERMITS"
"007696-21CP","1822 N 46TH ST","98103","4","2021 SEP 15 12:00:00 AM","2021","COMPLETED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","PER ONLINE: LAND CLEARING AND DEMOLITION STARTED ON THIS PEOPERTY TODAY, BUT NO PUBLIC NOTIFICATION WAS OR IS VISIBLE AT THE PROJECT SITE.  HOW IS IT POSSIBLE FOR WORK TO PROCEED WITHOUT THE REQUIRED PUBLIC NOTICE?"
"007720-21CP","4815 12TH AVE S","98108","2","2021 SEP 16 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","GUT REHAB","YES","PER ONLINE: THEY APPEAR TO BE DOING A COMPLETE GUT REHAB OF THE HOUSE WITHOUT ANY BUILDING PERMITS.  THE HOUSE HAS BEEN PROBLEMATIC FOR SEVERAL YEARS WITH MANY COMPLAINTS AND CITATIONS.  THEY GUTTED THE HOUSE DOWN TO THE STUDS, REMOVED SIDING DOWN TO"
"007723-21CP","3230 NE 91ST ST","98115","4","2021 SEP 16 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE: I RECENTLY PURCHASED 3230 NE 91ST ST, 98115. COMPARISON WITH THE LAST CITY RECORDS AVAILABLE (TAX ASSESSOR 2002) SHOWS AN ADDITION WAS MADE TO THE HOUSE AT SOME POINT, RESULTING IN A 68SQFT DISCREPANCY FROM THE SIZE ON ALL DOCUMENTS FROM "
"007760-21CP","2006 S INGERSOLL PL","98144","3","2021 SEP 17 12:00:00 AM","2021","CLOSED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","REMODEL WITHOUT A PERMIT AND INSPECTIONS"
"007807-21CP","1116 19TH AVE","98122","3","2021 SEP 19 12:00:00 AM","2021","CLOSED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE; 1. NO GUTTERS ON THE ROOF (FOR OVER 12 MONTHS)2. SIDE SEWER WORK WITH NO PERMIT 3. HVAC WORK WITH NO PERMIT4. COMPLETE HOUSE REMODEL STUDS OUT, VERY LITTLE OVERSIGHT5. WORKERS LIVING IN THE HOUSE"
"007809-21CP","13013 42ND AVE NE","98125","5","2021 SEP 19 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","PER ONLINE; THE PROPERTY OWNER IS BUILDING RETAINING WALLS OVER 4 FEET TALL WITHOUT A PERMIT OR AN ENGINEERED DESIGN. THE OWNER HAS NOT PUT IN DRAINAGE TO ACCOUNT FOR THE POTENTIAL WATER BUILD UP BEHIND THE WALL, AND HAS PLACED THESE STRUCTURES UP AG"
"007842-21CP","6715 35TH AVE SW","","1","2021 SEP 20 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","ELECTRICAL WORK IN BASEMENT WITHOUT A PERMIT"
"007849-21CP","660 NE 40TH ST","98105","4","2021 SEP 20 12:00:00 AM","2021","COMPLETED","","REQUEST","WORK_WITHOUT_PERMIT","CONSTRUCTION WITHOUT PERMIT","YES","CONSTRUCTION WITHOUT PERMIT CONVERTED GARAGE INTO BATHROOM"
"007853-21CP","3116 SW SPOKANE ST","98126","1","2021 SEP 20 12:00:00 AM","2021","CLOSED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","UNPERMITTED","YES","PER ONLINE: POSSIBLE UNPERMITTED WORK TAKING PLACE ON PRIVATE PROPERTY."
"007882-21CP","1241 S HENDERSON ST","","1","2021 SEP 21 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","PER ONLINE: OWNER OF THE PROPERTY HAS HIRED A GROUP OF PEOPLE TO JACKHAMMER AROUND HIS CARPORT AND TURN IT INTO LIVING SPACE. WE ARE CONCERNED THAT NO PERMITS WERE OBTAINED OR INSPECTIONS DONE TO ENSURE IT IS UP TO CODE AND WON'T BE A HAZARD TO OTHER"
"007889-21CP","3903 SW DAKOTA ST","98116","1","2021 SEP 22 12:00:00 AM","2021","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","PER ONLINE: APPARENT CONSTRUCTION WITHOUT A PERMIT, CONSTRUCTION OF DECK REQUIRED SETBACK."
"007914-21CP","4240 51ST AVE NE","98105","4","2021 SEP 22 12:00:00 AM","2021","CLOSED","","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","NEIGHBOR STATED SHED TORN DOWN - NO SETBACK - NO PERMIT"
