RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
009946-20CP,Complaint,Request,LandLord/Tenant,heating issue in apt for 1yr landlord aware - need to know about tenant rights,2020 Nov 23 12:00:00 AM,,,Closed,888 WESTERN AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009946-20CP,47.6033617,-122.33616596,"(47.6033617, -122.33616596)",11,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010053-20CP,Complaint,Request,LandLord/Tenant,"Per Online; On September 24th 2020 my apartment located at 2207 West Raye Street apt 207 Seattle, Washington 98199 at the Magnolia Court apartments managed by Cornell and Associates Property Management was flooded due to the City of Seattle stormwater and sewer systems maintained by SPU which had reached capacity during a heavy rainfall event and overflowed into my apartment causing 3 in of standing water into the lower level of my townhouse where my bathroom and bed",2020 Nov 30 12:00:00 AM,,,Completed,2207 W RAYE ST,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010053-20CP,47.64274863,-122.38517034,"(47.64274863, -122.38517034)",11,2020,4,,,,True,True,,7,True,False,False,False,True,False,False
010075-20CP,Complaint,Request,LandLord/Tenant,"POTA, JCEO, TRAOA, PAOTHR owner stating legal action will be used to displace",2020 Dec 01 12:00:00 AM,,,Closed,3811 13TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010075-20CP,47.65443509,-122.37404595,"(47.65443509, -122.37404595)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010132-20CP,Complaint,Request,LandLord/Tenant,"I'm retaliated against forfiling complaints.  Owner israising the rent 50%, has not made repairs and trying to force me out.",2020 Dec 02 12:00:00 AM,,,Closed,2415 8TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010132-20CP,47.63997946,-122.34314299,"(47.63997946, -122.34314299)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010218-20CP,Complaint,Request,LandLord/Tenant,I was issued a 10 day comply or vacate for normal daytime noise that I believe is not valid. We are not in violation of our lease agreement and feel discriminated against .,2020 Dec 07 12:00:00 AM,,,Completed,2501 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010218-20CP,47.64104269,-122.3754075,"(47.64104269, -122.3754075)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010254-20CP,Complaint,Request,LandLord/Tenant,heater not working in some parts of the apt - landlord aware stated they are not going to fix it - need to know about tenant rights also,2020 Dec 08 12:00:00 AM,,,Closed,1902 2ND AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010254-20CP,47.61117674,-122.34045389,"(47.61117674, -122.34045389)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010306-20CP,Complaint,Request,LandLord/Tenant,TRAO help,2020 Dec 08 12:00:00 AM,,,Closed,823 MADISON ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010306-20CP,47.60825794,-122.32744091,"(47.60825794, -122.32744091)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010310-20CP,Complaint,Request,LandLord/Tenant,"Per Online; Subject:  Security Deposit not returned after lease end by leasing company of Bella Estate LLCy of Message: Dear Manager,We have a lease agreement signed 6/24/2019 states the term of the lease as starting 7/1/2019 and ending on 4/30/2020. After 4/30/2020, the lease agreement is terminated. As a unit, we notified the lease representative on 3/9/2020, that I would be moving out.I have already sent many emails, phone calls, and certified mail to recover",2020 Dec 10 12:00:00 AM,,,Closed,1010 TAYLOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010310-20CP,47.62836359,-122.34604561,"(47.62836359, -122.34604561)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010323-20CP,Complaint,Request,LandLord/Tenant,Questions about TRAO,2020 Dec 10 12:00:00 AM,,,Completed,700 5TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010323-20CP,47.60501319,-122.32989532,"(47.60501319, -122.32989532)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010363-20CP,Complaint,Request,LandLord/Tenant,"We received an eviction notice via email 12/11/2020.We are told we need to be out by 1/31/2021.  We are highrisk, and need more timeto move.  The property waspurchased by a developer,and we feel they want usout as soon as possible.",2020 Dec 14 12:00:00 AM,,,Closed,1406 3RD AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010363-20CP,47.63162967,-122.36026271,"(47.63162967, -122.36026271)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010382-20CP,Complaint,Request,LandLord/Tenant,I received an eviction notice10 days ago.,2020 Dec 15 12:00:00 AM,,,Closed,1170 HARRISON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010382-20CP,47.62222167,-122.33338793,"(47.62222167, -122.33338793)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010416-20CP,Complaint,Request,LandLord/Tenant,Building owner refuses accessto dwelling for guests.,2020 Dec 16 12:00:00 AM,,,Closed,204 Pine ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010416-20CP,47.61067146,-122.33958684,"(47.61067146, -122.33958684)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,False
010417-20CP,Complaint,Request,LandLord/Tenant,"tenant rights, landlord is checking for bed bugs every 3 weeks, wants to come inside my apt I am high risk for COV19 I don't want to let them in after they have been in all the other apts I'm elderly",2020 Dec 16 12:00:00 AM,,,Closed,2721 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010417-20CP,47.6180128,-122.34895426,"(47.6180128, -122.34895426)",12,2020,4,,,,True,True,,7,True,False,False,False,True,False,True
010467-20CP,Complaint,Request,LandLord/Tenant,Remove TRAO Hold from 6814897-DM,2020 Dec 18 12:00:00 AM,,,Completed,1934 5th AVE W,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010467-20CP,47.63698124,-122.36335985,"(47.63698124, -122.36335985)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010488-20CP,Complaint,Request,LandLord/Tenant,Per Online; I have not received my security deposit back nor have I been given any statement or explanation as to why the deposit has not been returned. My lease ended on 8/31/2020 and per local statutes I am owed a full explanation or returned deposit within 21 days.,2020 Dec 20 12:00:00 AM,,,Closed,2911 2nd AVE,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010488-20CP,47.61754767,-122.35226048,"(47.61754767, -122.35226048)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,True
010512-20CP,Complaint,Request,LandLord/Tenant,"Roach infestation, additionalunexplained charges, noconsistent repairs.  I needhelp moving me and mychildren out.  Managementnot addressing problems. I need to know my rights.",2020 Dec 21 12:00:00 AM,,,Closed,111 YALE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010512-20CP,47.61896207,-122.33079472,"(47.61896207, -122.33079472)",12,2020,4,,,,True,True,,7,True,False,False,False,True,False,False
010543-20CP,Complaint,Request,LandLord/Tenant,TRAO questions for permit#6748272-CN.,2020 Dec 22 12:00:00 AM,,,Completed,1118 5TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010543-20CP,47.60791047,-122.3326708,"(47.60791047, -122.3326708)",12,2020,4,,,,True,True,,7,True,False,False,False,False,True,False
010585-20CP,Complaint,Request,LandLord/Tenant,"Upstairs leak on 11/18/2020rendered my unit uninhabitable.  I am now displaced and living in my car. The landlord has nothelped to relocate me,has not offered any typeof compensation.  They gave me 4 garbage bags and a pair of gloves to clean-up my own place.",2020 Dec 23 12:00:00 AM,2020 Dec 30 12:00:00 AM,Completed,Completed,118 BELL ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010585-20CP,47.61396474,-122.34610729,"(47.61396474, -122.34610729)",12,2020,4,12,2020,4,False,False,7,7,True,False,False,False,True,False,False
000105-21CP,Complaint,Request,LandLord/Tenant,"The Bernard apartments did not refund my deposit or provide a statement of why they weren't refunding. I moved out April of 2018, and they are just now on 1/1/2021 trying to bill me for alleged cleaning services 2.5+ years after I moved out (no receipts, just a statement I owe money). They're 961 days past the 21 day window they're supposed to follow.I'm filing a complaint because I have no faith they aren't doing this to other tenants or past tenants. They were extremely",2021 Jan 01 12:00:00 AM,,,Completed,115 WARREN AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000105-21CP,47.61910481,-122.35447839,"(47.61910481, -122.35447839)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000120-21CP,Complaint,Request,LandLord/Tenant,I sublet space in a unit.Disagreement caused me to be asked to move out abruptly.  I am not allowedto retrieve my belongings.What are my rights?,2020 Dec 30 12:00:00 AM,,,Closed,104 PINE ST,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000120-21CP,47.61012696,-122.34074799,"(47.61012696, -122.34074799)",12,2020,4,,,,True,True,,7,True,False,False,False,False,False,False
000127-21CP,Complaint,Request,LandLord/Tenant,"I have the following maintenance/safety complaints: - July 27, 2020 I was without a working faucet in my kitchen for a period of more than 2 weeks and had to fix it myself because management failed to respond- September 16, 2020 I filed a maintenance request after an individual pried the door off of my mailbox and the mail inside was stolen.  I still do not have a functioning mailbox- November 30, 2020 I was without hot water for a period of more than 24 hours before management resp",2021 Jan 04 12:00:00 AM,,,Completed,307 QUEEN ANNE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000127-21CP,47.62128948,-122.35708427,"(47.62128948, -122.35708427)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000150-21CP,Complaint,Request,LandLord/Tenant,"I am writing to report a violation of Seattle Municipal Code 22.206.180.F. RCW 59.18.150, on the property on 1735 Dexter Ave N. Seattle. WA, 98109, which I am a current tenant at unit A302, where the violation took place.  The building informed us that maintenance workers need to enter our apartment balcony for repair. The building had come in our apartment many times for repair inspection since 2017, and each time they decided to not repair. Thus, we consider this repai",2021 Jan 04 12:00:00 AM,,,Completed,1735 DEXTER AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000150-21CP,47.63491484,-122.34267297,"(47.63491484, -122.34267297)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000183-21CP,Complaint,Request,LandLord/Tenant,TRAO holding up permit #6817334-CN,2021 Jan 05 12:00:00 AM,,,Closed,2450 DEXTER AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000183-21CP,47.64111494,-122.344347,"(47.64111494, -122.344347)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000193-21CP,Complaint,Request,LandLord/Tenant,I have been dealing with aleak since 12/27/2020.  Management has yet to respond.  What are myrights?,2021 Jan 05 12:00:00 AM,2021 Jan 07 12:00:00 AM,Completed,Completed,230 8TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000193-21CP,47.62067103,-122.34072906,"(47.62067103, -122.34072906)",1,2021,1,1,2021,1,False,False,2,7,True,False,False,False,True,False,False
000224-21CP,Complaint,Request,LandLord/Tenant,"The landlord has demonstrated practices of retaliation against me for speaking out on the lack of hot water, safety concerns, and lack of upkeep renewal, they are not giving the same renewal offers to me that they have given other residents. I even inquired about moving to a new unit for the current offer and was ignored. However, I know of previous residents that received a new deal when they moved into a new unit. Beyond this, the leasing offices continues to avoid my em",2021 Jan 06 12:00:00 AM,,,Closed,420 PONTIUS AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000224-21CP,47.62245604,-122.33147942,"(47.62245604, -122.33147942)",1,2021,1,,,,True,True,,7,True,False,False,False,True,True,False
000242-21CP,Complaint,Request,LandLord/Tenant,"Hello.  Ellis Court management has abandoned the property.  No longer on-site property management.  A notice was left that they will no longer honor maintenance requests (photocopy to be provided.)  After requesting maintenance for exterminators, we were ignored for over 14 days, then provided 20 days notice that we will be moving out.  Move-out protocols were honored on our end, but we are being charged again with more blatant charges than other months.  We are filing this",2021 Jan 07 12:00:00 AM,,,Completed,2510 WESTERN AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000242-21CP,47.61453819,-122.34970311,"(47.61453819, -122.34970311)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000253-21CP,Complaint,Request,LandLord/Tenant,"I applied for a rental unit on Dec 11. The landlord informed me, after paying application fees and initial deposit, that the unit was not available for rent. I have this in writing. The landlord refuses to refund my application fee and security deposit. I have all this information in writing.",2021 Jan 08 12:00:00 AM,,,Closed,630 BOREN AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000253-21CP,47.62546117,-122.33551235,"(47.62546117, -122.33551235)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,True
000285-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Jan 05 12:00:00 AM,,,Completed,2018 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000285-21CP,47.611526,-122.34311143,"(47.611526, -122.34311143)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000366-21CP,Complaint,Request,LandLord/Tenant,"LOCK OUT, PMBELIEVES TENANT ABANDONED APT",2021 Jan 12 12:00:00 AM,,,Closed,2602 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000366-21CP,47.61768438,-122.34696255,"(47.61768438, -122.34696255)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000376-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Jan 08 12:00:00 AM,,,Completed,621 1ST AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000376-21CP,47.62532331,-122.35817451,"(47.62532331, -122.35817451)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000379-21CP,Complaint,Request,LandLord/Tenant,Rights inquiry,2021 Jan 08 12:00:00 AM,,,Completed,2121 6TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000379-21CP,47.61531295,-122.34042542,"(47.61531295, -122.34042542)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000525-21CP,Complaint,Request,LandLord/Tenant,"After a month of limited or nohot water, and no clear planof action from management,we broke our lease.  I feelwe are should get some of our monies/fees/depositsreturned. I have supportingdocuments if requested.",2021 Jan 19 12:00:00 AM,,,Completed,420 PONTIUS AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000525-21CP,47.62245604,-122.33147942,"(47.62245604, -122.33147942)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000568-21CP,Complaint,Request,LandLord/Tenant,"Hi there. Former HZ Tech here - I hope you're surviving WFH!I gave notice then moved out of my residence at the end of September, 2020. My former landlord, Ken Lubkowski, is refusing to return my security deposit and indicating that it is the current tenants' responsibility to pay me, and that I may be responsible for the condition of the home upon their vacation (or their rent if they are to stay). I'm not sure there is any explicit violation under SDCI's purview, but I w",2021 Jan 20 12:00:00 AM,,,Completed,2838 21ST AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000568-21CP,47.64595337,-122.38310418,"(47.64595337, -122.38310418)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,True
000604-21CP,Complaint,Request,LandLord/Tenant,6800806-DM Demolition Permit was issued on 12/15/20 and house has been removed.  Please remove TRAO hold on 6800805-CN,2021 Jan 21 12:00:00 AM,,,Closed,2425 W CROCKETT ST,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000604-21CP,47.63738283,-122.38985727,"(47.63738283, -122.38985727)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000672-21CP,Complaint,Request,LandLord/Tenant,TRAO,2021 Jan 20 12:00:00 AM,,,Closed,1223 TAYLOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000672-21CP,47.63049821,-122.34665175,"(47.63049821, -122.34665175)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000698-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Jan 22 12:00:00 AM,,,Completed,68 W ETRURIA ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000698-21CP,47.64797766,-122.36056218,"(47.64797766, -122.36056218)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000737-21CP,Complaint,Request,LandLord/Tenant,TRAO help6778342-CN6814592-DM,2021 Jan 25 12:00:00 AM,,,Closed,68 W ETRURIA ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000737-21CP,47.64797766,-122.36056218,"(47.64797766, -122.36056218)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000751-21CP,Complaint,Request,LandLord/Tenant,TRAO inquiry,2021 Jan 26 12:00:00 AM,,,Closed,1919 QUEEN ANNE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000751-21CP,47.6366287,-122.35739732,"(47.6366287, -122.35739732)",1,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000843-21CP,Complaint,Request,LandLord/Tenant,Eviction guidance needed.,2021 Jan 29 12:00:00 AM,,,Completed,2132 5TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000843-21CP,47.61532169,-122.34142372,"(47.61532169, -122.34142372)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000873-21CP,Complaint,Request,LandLord/Tenant,Rights guidance,2021 Jan 29 12:00:00 AM,,,Completed,2204 1ST AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000873-21CP,47.61291227,-122.34511587,"(47.61291227, -122.34511587)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000908-21CP,Complaint,Request,LandLord/Tenant,"After a year of limited to nohot water at times, I am moving out.  I would like arefund of some of the rentpaid during months withouthot water.",2021 Jan 29 12:00:00 AM,,,Under Investigation,420 PONTIUS AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000908-21CP,47.62245604,-122.33147942,"(47.62245604, -122.33147942)",1,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
000912-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Feb 01 12:00:00 AM,,,Closed,21 W LEE ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000912-21CP,47.63106938,-122.35765093,"(47.63106938, -122.35765093)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000949-21CP,Complaint,Request,LandLord/Tenant,"With dealing with a brokenwindow, unsafe environmentthat landlord is aware of, Iwant to break the lease.What are my rights?",2021 Feb 02 12:00:00 AM,,,Closed,715 2ND AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000949-21CP,47.62595969,-122.35307826,"(47.62595969, -122.35307826)",2,2021,1,,,,True,True,,7,True,False,False,False,True,False,False
000952-21CP,Complaint,Request,LandLord/Tenant,Harassment issues.,2021 Feb 02 12:00:00 AM,,,Closed,2501 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000952-21CP,47.64104269,-122.3754075,"(47.64104269, -122.3754075)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
000962-21CP,Complaint,Request,LandLord/Tenant,"I have having a difficult timecommunicating with landlordregarding repair requests. They don't give a time toenter, and never follow-up.Then they accuse me of rejecting all the orders. Iwant to move and breakthe lease.",2021 Feb 03 12:00:00 AM,,,Completed,515 W OLYMPIC PL,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000962-21CP,47.62653382,-122.36406416,"(47.62653382, -122.36406416)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001053-21CP,Complaint,Request,LandLord/Tenant,"Per Online; My complaint is that my neighbor keeps harassing me about me ""delaying"" repair purposes even as ""notices"" also under notices they fail to include the contact info to the city. Often, they will print out outlook e-mail threads and leave it on my door with all my information.",2021 Feb 06 12:00:00 AM,,,Completed,515 W OLYMPIC PL,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001053-21CP,47.62653382,-122.36406416,"(47.62653382, -122.36406416)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
001094-21CP,Complaint,Request,LandLord/Tenant,Rights inquiry,2021 Feb 08 12:00:00 AM,,,Completed,424 MINOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001094-21CP,47.62272051,-122.33259681,"(47.62272051, -122.33259681)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001112-21CP,Complaint,Request,LandLord/Tenant,Questions about tenant noise,2021 Feb 02 12:00:00 AM,,,Completed,700 5TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001112-21CP,47.60501319,-122.32989532,"(47.60501319, -122.32989532)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001123-21CP,Complaint,Request,LandLord/Tenant,I have had an exposed pipein my ceiling for 4 weeks after a leak.  No clear plan of repair. I want the repairs done andreimbursement of some ofthe rent.,2021 Feb 08 12:00:00 AM,,,Closed,19 ALOHA ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001123-21CP,47.62706768,-122.35580615,"(47.62706768, -122.35580615)",2,2021,1,,,,True,True,,7,True,False,False,False,True,False,False
001147-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Feb 10 12:00:00 AM,,,Completed,714 7TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001147-21CP,47.6060148,-122.3275709,"(47.6060148, -122.3275709)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
001150-21CP,Complaint,Request,LandLord/Tenant,"PER CSB: Bode, formerly known as The Stratford Company, is a corrupt company with a demonstrated disregard for tenant rights. After failing to return my security deposit nor provide me with an itemized bill within 21 days of my move-out from one of their apartments, as required by law, the company fabricated damage charges and claimed they only owed me a small portion of my deposit. I sued them in King County Small Claims Court, and was awarded the judgment by the court. Bod",2021 Feb 10 12:00:00 AM,,,Completed,715 NOB HILL AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001150-21CP,47.62594377,-122.35052946,"(47.62594377, -122.35052946)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,True
001179-21CP,Complaint,Request,LandLord/Tenant,20 DAY NOTICEGIVEN BY TENANTBEING CHARGED ANDTHINKS IMPROPER.SAYS PM TOLD HIM WASA DAY LATE.,2021 Feb 11 12:00:00 AM,,,Completed,111 YALE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001179-21CP,47.61896207,-122.33079472,"(47.61896207, -122.33079472)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,True
001223-21CP,Complaint,Request,LandLord/Tenant,My Property managment company has refused to give my keys to access my appartment. They have refused to fix my front door after having a break in. They have also refused to do any and all maintence on the apartment no matter how needed the repairs. They have no gone as far as not allowing me to get a mail key or even picking up my own packages.,2021 Feb 12 12:00:00 AM,,,Closed,1301 1ST AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001223-21CP,47.60689857,-122.33874933,"(47.60689857, -122.33874933)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001229-21CP,Complaint,Request,LandLord/Tenant,"Lowell Emerson apartments1102 8th Ave, Seattle WAThis is the second time that my apartment has flooded and I don't feel like it's being taken seriously. The first time it happened was after hours but there was no emergency contact. I called every emergency number posted outside the office door and I could hear all the phones ringing in the office. My emails were not answered until the following day. I had to wake up every couple hours to clean up the water and relocated al",2021 Feb 13 12:00:00 AM,2021 Mar 10 12:00:00 AM,Completed,Completed,1102 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001229-21CP,47.60892711,-122.32897271,"(47.60892711, -122.32897271)",2,2021,1,3,2021,1,False,False,25,7,True,False,False,False,True,False,False
001324-21CP,Complaint,Request,LandLord/Tenant,"Caller says she's been without heat for 2 weeks.  Saysmanagement has promisedto move her to another unitfor past 2 weeks, butnothing has happened yet.Says she fears retaliationfor filing complaint.",2021 Feb 19 12:00:00 AM,2021 Mar 30 12:00:00 AM,No Access/Unable to Observe,Completed,1902 2ND AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001324-21CP,47.61117674,-122.34045389,"(47.61117674, -122.34045389)",2,2021,1,3,2021,1,False,False,39,7,True,False,False,False,False,True,False
001364-21CP,Complaint,Request,LandLord/Tenant,TRAO help,2021 Feb 19 12:00:00 AM,,,Completed,2242 15TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001364-21CP,47.63992265,-122.37586711,"(47.63992265, -122.37586711)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
001368-21CP,Complaint,Request,LandLord/Tenant,Tenant rights (landlord is entering property without notice)  no heat for months. Landlord saying is delinquent.Inspection happened last week. Still no heat.,2021 Feb 22 12:00:00 AM,,,Completed,229 1ST AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001368-21CP,47.62060875,-122.35582943,"(47.62060875, -122.35582943)",2,2021,1,,,,True,True,,7,True,False,False,False,True,False,True
001397-21CP,Complaint,Request,LandLord/Tenant,"Tenant gave move out notice on 2/9, landlord is telling tenant he still has to pay for March rent. Is this legal, didn't tenant give enough notice what are rights? Is disabled",2021 Feb 17 12:00:00 AM,,,Completed,111 YALE AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001397-21CP,47.61896207,-122.33079472,"(47.61896207, -122.33079472)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001402-21CP,Complaint,Request,LandLord/Tenant,TRAO holding up permit 6821446-CN. Has questions,2021 Feb 17 12:00:00 AM,,,Completed,21 W LEE ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001402-21CP,47.63106938,-122.35765093,"(47.63106938, -122.35765093)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
001527-21CP,Complaint,Request,LandLord/Tenant,"NO MAIL KEY,STORAGE KEY ANDONLY GIVEN 1 DOORKEY DESPITE REQUESTFOR MORE",2021 Feb 25 12:00:00 AM,,,Completed,1800 TAYLOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001527-21CP,47.6354739,-122.34561795,"(47.6354739, -122.34561795)",2,2021,1,,,,True,True,,7,True,False,False,False,False,False,False
001532-21CP,Complaint,Request,LandLord/Tenant,TRAO inquiry from landlord,2021 Feb 26 12:00:00 AM,,,Completed,1115 6TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001532-21CP,47.62941632,-122.34520417,"(47.62941632, -122.34520417)",2,2021,1,,,,True,True,,7,True,False,False,False,False,True,False
001554-21CP,Complaint,Request,LandLord/Tenant,"received 60 days notice to vacate, need to know about my tenant rights",2021 Mar 01 12:00:00 AM,,,Completed,57 W DRAVUS ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001554-21CP,47.64849302,-122.36019369,"(47.64849302, -122.36019369)",3,2021,1,,,,True,True,,7,True,False,False,False,False,False,True
